city,state_id,state_name,lat,lng,timezone
Augusta,GA,Georgia,33.3645,-82.0708,America/New_York
Kissimmee,FL,Florida,28.3041,-81.4169,America/New_York
Winston-Salem,NC,North Carolina,36.1029,-80.261,America/New_York
Stockton,CA,California,37.9765,-121.3109,America/Los_Angeles
Syracuse,NY,New York,43.0407,-76.1437,America/New_York
Chattanooga,TN,Tennessee,35.066,-85.2481,America/New_York
Lancaster,PA,Pennsylvania,40.042,-76.3012,America/New_York
Greenville,SC,South Carolina,34.8354,-82.3646,America/New_York
Durham,NC,North Carolina,35.9792,-78.9022,America/New_York
Pensacola,FL,Florida,30.4413,-87.1911,America/Chicago
Fayetteville,AR,Arkansas,36.0714,-94.1661,America/Chicago
Arlington,TX,Texas,32.6998,-97.125,America/Chicago
Aurora,CO,Colorado,39.7083,-104.7237,America/Denver
Oxnard,CA,California,34.1964,-119.1815,America/Los_Angeles
Indio,CA,California,33.7346,-116.2346,America/Los_Angeles
Scranton,PA,Pennsylvania,41.4044,-75.6649,America/New_York
Victorville,CA,California,34.5277,-117.3536,America/Los_Angeles
Trenton,NJ,New Jersey,40.2237,-74.7641,America/New_York
Modesto,CA,California,37.6375,-121.0028,America/Los_Angeles
Huntsville,AL,Alabama,34.6981,-86.6412,America/Chicago
Honolulu,HI,Hawaii,21.3294,-157.846,Pacific/Honolulu
Greensboro,NC,North Carolina,36.0956,-79.8271,America/New_York
Anaheim,CA,California,33.839,-117.8574,America/Los_Angeles
Corpus Christi,TX,Texas,27.7254,-97.3767,America/Chicago
Fort Wayne,IN,Indiana,41.0888,-85.1436,America/Indiana/Indianapolis
Fort Collins,CO,Colorado,40.5477,-105.0656,America/Denver
Jackson,MS,Mississippi,32.3157,-90.2125,America/Chicago
Myrtle Beach,SC,South Carolina,33.7094,-78.8844,America/New_York
Fayetteville,NC,North Carolina,35.085,-78.9772,America/New_York
Antioch,CA,California,37.9787,-121.796,America/Los_Angeles
Lansing,MI,Michigan,42.7142,-84.5601,America/Detroit
Lexington,KY,Kentucky,38.0423,-84.4587,America/New_York
Mobile,AL,Alabama,30.6782,-88.1162,America/Chicago
Youngstown,OH,Ohio,41.0993,-80.6463,America/New_York
Henderson,NV,Nevada,36.0133,-115.0381,America/Los_Angeles
Savannah,GA,Georgia,32.0286,-81.1821,America/New_York
Poughkeepsie,NY,New York,41.695,-73.9211,America/New_York
Santa Ana,CA,California,33.7367,-117.8819,America/Los_Angeles
Ann Arbor,MI,Michigan,42.2759,-83.731,America/Detroit
St. Paul,MN,Minnesota,44.9478,-93.1039,America/Chicago
Newark,NJ,New Jersey,40.7245,-74.1725,America/New_York
Irvine,CA,California,33.6772,-117.7738,America/Los_Angeles
Santa Rosa,CA,California,38.4458,-122.7067,America/Los_Angeles
Canton,OH,Ohio,40.8078,-81.3676,America/New_York
Asheville,NC,North Carolina,35.5707,-82.5537,America/New_York
Flint,MI,Michigan,43.0236,-83.6921,America/Detroit
Winter Haven,FL,Florida,28.0118,-81.7014,America/New_York
Anchorage,AK,Alaska,61.1508,-149.1091,America/Anchorage
Lincoln,NE,Nebraska,40.8099,-96.6784,America/Chicago
Concord,NC,North Carolina,35.3933,-80.6369,America/New_York
Jersey City,NJ,New Jersey,40.7184,-74.0686,America/New_York
Springfield,MO,Missouri,37.1943,-93.2916,America/Chicago
Plano,TX,Texas,33.0502,-96.7486,America/Chicago
Shreveport,LA,Louisiana,32.4653,-93.7955,America/Chicago
Davenport,IA,Iowa,41.5565,-90.6053,America/Chicago
Lubbock,TX,Texas,33.5657,-101.8879,America/Chicago
Lakeland,FL,Florida,28.0557,-81.9545,America/New_York
South Bend,IN,Indiana,41.6767,-86.2696,America/Indiana/Indianapolis
Chula Vista,CA,California,32.6281,-117.0144,America/Los_Angeles
Chandler,AZ,Arizona,33.2825,-111.8514,America/Phoenix
Rockford,IL,Illinois,42.2596,-89.064,America/Chicago
Reading,PA,Pennsylvania,40.34,-75.9267,America/New_York
Eugene,OR,Oregon,44.0564,-123.1174,America/Los_Angeles
Wilmington,NC,North Carolina,34.2099,-77.8866,America/New_York
Santa Clarita,CA,California,34.4175,-118.4964,America/Los_Angeles
Gilbert,AZ,Arizona,33.31,-111.7463,America/Phoenix
Salem,OR,Oregon,44.9233,-123.0244,America/Los_Angeles
Killeen,TX,Texas,31.0753,-97.7297,America/Chicago
Round Lake Beach,IL,Illinois,42.3791,-88.0811,America/Chicago
Columbus,GA,Georgia,32.51,-84.8771,America/New_York
North Las Vegas,NV,Nevada,36.2883,-115.0888,America/Los_Angeles
Kennewick,WA,Washington,46.1978,-119.1732,America/Los_Angeles
St. Petersburg,FL,Florida,27.7931,-82.6652,America/New_York
Tallahassee,FL,Florida,30.4551,-84.2527,America/New_York
Laredo,TX,Texas,27.5625,-99.4874,America/Chicago
Irving,TX,Texas,32.8583,-96.9702,America/Chicago
Peoria,IL,Illinois,40.752,-89.6154,America/Chicago
Montgomery,AL,Alabama,32.3482,-86.2668,America/Chicago
Chesapeake,VA,Virginia,36.6778,-76.3023,America/New_York
Glendale,AZ,Arizona,33.5791,-112.2311,America/Phoenix
York,PA,Pennsylvania,39.9651,-76.7315,America/New_York
Nashua,NH,New Hampshire,42.7491,-71.491,America/New_York
Garland,TX,Texas,32.91,-96.6304,America/Chicago
Scottsdale,AZ,Arizona,33.6872,-111.8651,America/Phoenix
Lafayette,LA,Louisiana,30.2082,-92.0325,America/Chicago
Norfolk,VA,Virginia,36.8945,-76.259,America/New_York
Arlington,VA,Virginia,38.8786,-77.1011,America/New_York
Appleton,WI,Wisconsin,44.278,-88.3892,America/Chicago
Aguadilla,PR,Puerto Rico,18.4382,-67.1537,America/Puerto_Rico
Rock Hill,SC,South Carolina,34.9415,-81.0241,America/New_York
Fremont,CA,California,37.5265,-121.9843,America/Los_Angeles
Fargo,ND,North Dakota,46.8651,-96.8292,America/Chicago
Gulfport,MS,Mississippi,30.4274,-89.0704,America/Chicago
Bremerton,WA,Washington,47.5436,-122.7121,America/Los_Angeles
Green Bay,WI,Wisconsin,44.5148,-87.9895,America/Chicago
Enterprise,NV,Nevada,36.0091,-115.2278,America/Los_Angeles
Hialeah,FL,Florida,25.8696,-80.3045,America/New_York
Deltona,FL,Florida,28.905,-81.2137,America/New_York
San Bernardino,CA,California,34.1416,-117.2943,America/Los_Angeles
Gainesville,FL,Florida,29.6804,-82.3459,America/New_York
Spring Valley,NV,Nevada,36.0952,-115.2636,America/Los_Angeles
Tacoma,WA,Washington,47.2431,-122.4531,America/Los_Angeles
Roanoke,VA,Virginia,37.2785,-79.9581,America/New_York
Brownsville,TX,Texas,25.9975,-97.458,America/Chicago
College Station,TX,Texas,30.5852,-96.2959,America/Chicago
Olympia,WA,Washington,47.0417,-122.8959,America/Los_Angeles
Clarksville,TN,Tennessee,36.5692,-87.3413,America/Chicago
Yonkers,NY,New York,40.9466,-73.8673,America/New_York
Moreno Valley,CA,California,33.9244,-117.2045,America/Los_Angeles
Thousand Oaks,CA,California,34.1914,-118.8756,America/Los_Angeles
Portland,ME,Maine,43.6773,-70.2715,America/New_York
Fontana,CA,California,34.0968,-117.4599,America/Los_Angeles
Hickory,NC,North Carolina,35.741,-81.3223,America/New_York
Amarillo,TX,Texas,35.1984,-101.8316,America/Chicago
Sioux Falls,SD,South Dakota,43.5396,-96.7311,America/Chicago
Evansville,IN,Indiana,37.9881,-87.5341,America/Chicago
Huntington,WV,West Virginia,38.4109,-82.4345,America/New_York
Waterbury,CT,Connecticut,41.5582,-73.0361,America/New_York
Frisco,TX,Texas,33.156,-96.8216,America/Chicago
Lorain,OH,Ohio,41.4409,-82.184,America/New_York
Kalamazoo,MI,Michigan,42.2749,-85.5882,America/Detroit
Galveston,TX,Texas,29.2484,-94.8913,America/Chicago
Spartanburg,SC,South Carolina,34.9442,-81.9251,America/New_York
Santa Barbara,CA,California,34.4285,-119.7202,America/Los_Angeles
Sunrise Manor,NV,Nevada,36.1783,-115.0487,America/Los_Angeles
Huntington Beach,CA,California,33.696,-118.0018,America/Los_Angeles
Grand Prairie,TX,Texas,32.6871,-97.0208,America/Chicago
Overland Park,KS,Kansas,38.887,-94.687,America/Chicago
McKinney,TX,Texas,33.2016,-96.667,America/Chicago
Waco,TX,Texas,31.5599,-97.1882,America/Chicago
Hagerstown,MD,Maryland,39.6401,-77.7217,America/New_York
Glendale,CA,California,34.1819,-118.2468,America/Los_Angeles
Nampa,ID,Idaho,43.5844,-116.5638,America/Boise
Peoria,AZ,Arizona,33.7843,-112.2989,America/Phoenix
Cedar Rapids,IA,Iowa,41.9662,-91.6783,America/Chicago
Vancouver,WA,Washington,45.6366,-122.5967,America/Los_Angeles
Paradise,NV,Nevada,36.0872,-115.1355,America/Los_Angeles
Ocala,FL,Florida,29.178,-82.1511,America/New_York
Erie,PA,Pennsylvania,42.1167,-80.0733,America/New_York
Newport News,VA,Virginia,37.1051,-76.5185,America/New_York
Frederick,MD,Maryland,39.4337,-77.4141,America/New_York
Murfreesboro,TN,Tennessee,35.849,-86.4121,America/Chicago
Fort Lauderdale,FL,Florida,26.1412,-80.1464,America/New_York
Aurora,IL,Illinois,41.7638,-88.2902,America/Chicago
Tempe,AZ,Arizona,33.3881,-111.9319,America/Phoenix
Danbury,CT,Connecticut,41.4015,-73.4709,America/New_York
Spring Hill,FL,Florida,28.4798,-82.53,America/New_York
Gastonia,NC,North Carolina,35.2494,-81.1854,America/New_York
Salinas,CA,California,36.6883,-121.6317,America/Los_Angeles
Fredericksburg,VA,Virginia,38.2992,-77.4872,America/New_York
Ontario,CA,California,34.0393,-117.6064,America/Los_Angeles
Elk Grove,CA,California,38.4161,-121.3842,America/Los_Angeles
Gainesville,GA,Georgia,34.2902,-83.8294,America/New_York
Cary,NC,North Carolina,35.7819,-78.8195,America/New_York
Rancho Cucamonga,CA,California,34.1247,-117.5667,America/Los_Angeles
Oceanside,CA,California,33.2247,-117.3083,America/Los_Angeles
Garden Grove,CA,California,33.7787,-117.9601,America/Los_Angeles
Lancaster,CA,California,34.6935,-118.1753,America/Los_Angeles
Hemet,CA,California,33.7341,-116.9969,America/Los_Angeles
Pembroke Pines,FL,Florida,26.0128,-80.3382,America/New_York
Panama City,FL,Florida,30.1995,-85.6003,America/Chicago
Vallejo,CA,California,38.1125,-122.2342,America/Los_Angeles
Manchester,NH,New Hampshire,42.9848,-71.4447,America/New_York
Medford,OR,Oregon,42.3372,-122.854,America/Los_Angeles
Bayamón,PR,Puerto Rico,18.3794,-66.1635,America/Puerto_Rico
Mauldin,SC,South Carolina,34.7821,-82.3032,America/New_York
Santa Cruz,CA,California,36.9789,-122.0346,America/Los_Angeles
Palmdale,CA,California,34.5944,-118.1057,America/Los_Angeles
Norwich,CT,Connecticut,41.5495,-72.0882,America/New_York
Muskegon,MI,Michigan,43.2281,-86.2562,America/Detroit
Leesburg,FL,Florida,28.7672,-81.8962,America/New_York
High Point,NC,North Carolina,35.991,-79.9937,America/New_York
Tuscaloosa,AL,Alabama,33.2348,-87.5268,America/Chicago
Visalia,CA,California,36.3276,-119.3269,America/Los_Angeles
Marysville,WA,Washington,48.0809,-122.1561,America/Los_Angeles
Merced,CA,California,37.3057,-120.4779,America/Los_Angeles
Hayward,CA,California,37.6328,-122.0766,America/Los_Angeles
Lafayette,IN,Indiana,40.3991,-86.8593,America/Indiana/Indianapolis
Springfield,IL,Illinois,39.7709,-89.654,America/Chicago
Corona,CA,California,33.8616,-117.5649,America/Los_Angeles
Paterson,NJ,New Jersey,40.9147,-74.1624,America/New_York
Alexandria,VA,Virginia,38.8185,-77.0861,America/New_York
Macon,GA,Georgia,32.8065,-83.6974,America/New_York
Binghamton,NY,New York,42.1014,-75.9093,America/New_York
Lakewood,CO,Colorado,39.6977,-105.1172,America/Denver
Kansas City,KS,Kansas,39.1235,-94.7443,America/Chicago
Odessa,TX,Texas,31.8801,-102.3448,America/Chicago
Sunnyvale,CA,California,37.3836,-122.0255,America/Los_Angeles
New Bedford,MA,Massachusetts,41.6697,-70.9428,America/New_York
Hollywood,FL,Florida,26.0293,-80.1679,America/New_York
South Lyon,MI,Michigan,42.4614,-83.6526,America/Detroit
Escondido,CA,California,33.1348,-117.0723,America/Los_Angeles
Lake Charles,LA,Louisiana,30.201,-93.2111,America/Chicago
Pasadena,TX,Texas,29.6575,-95.1498,America/Chicago
Bellevue,WA,Washington,47.5951,-122.1535,America/Los_Angeles
Joliet,IL,Illinois,41.5188,-88.1499,America/Chicago
Champaign,IL,Illinois,40.1142,-88.2737,America/Chicago
Pomona,CA,California,34.0585,-117.7626,America/Los_Angeles
Fairfield,CA,California,38.2583,-122.0335,America/Los_Angeles
Mesquite,TX,Texas,32.7602,-96.5865,America/Chicago
Elkhart,IN,Indiana,41.6916,-85.9627,America/Indiana/Indianapolis
Naperville,IL,Illinois,41.748,-88.1659,America/Chicago
St. George,UT,Utah,37.0758,-113.5752,America/Denver
Roseville,CA,California,38.7703,-121.3196,America/Los_Angeles
Topeka,KS,Kansas,39.0346,-95.6955,America/Chicago
Burlington,NC,North Carolina,36.076,-79.4685,America/New_York
Warner Robins,GA,Georgia,32.5961,-83.6527,America/New_York
Surprise,AZ,Arizona,33.6815,-112.4515,America/Phoenix
Torrance,CA,California,33.8346,-118.3416,America/Los_Angeles
Santa Maria,CA,California,34.9333,-120.4431,America/Los_Angeles
Athens,GA,Georgia,33.9508,-83.3689,America/New_York
Houma,LA,Louisiana,29.58,-90.7059,America/Chicago
Columbia,MO,Missouri,38.9472,-92.3268,America/Chicago
Fullerton,CA,California,33.8841,-117.9279,America/Los_Angeles
Olathe,KS,Kansas,38.8833,-94.82,America/Chicago
Thornton,CO,Colorado,39.9197,-104.9438,America/Denver
Greeley,CO,Colorado,40.4152,-104.7706,America/Denver
Beaumont,TX,Texas,30.0849,-94.1451,America/Chicago
Las Cruces,NM,New Mexico,32.3265,-106.7893,America/Denver
Midland,TX,Texas,32.0243,-102.1147,America/Chicago
Metairie,LA,Louisiana,29.9977,-90.178,America/Chicago
Carolina,PR,Puerto Rico,18.4054,-65.9792,America/Puerto_Rico
West Valley City,UT,Utah,40.6886,-112.0123,America/Denver
Orange,CA,California,33.8038,-117.8218,America/Los_Angeles
Warren,MI,Michigan,42.4934,-83.027,America/Detroit
Grand Junction,CO,Colorado,39.0877,-108.5673,America/Denver
Tyler,TX,Texas,32.3184,-95.3062,America/Chicago
Pasadena,CA,California,34.1597,-118.139,America/Los_Angeles
Hampton,VA,Virginia,37.0551,-76.363,America/New_York
Bloomington,IL,Illinois,40.4757,-88.9703,America/Chicago
Elizabeth,NJ,New Jersey,40.6658,-74.1913,America/New_York
Stamford,CT,Connecticut,41.1039,-73.5585,America/New_York
Yuma,AZ,Arizona,32.5995,-114.5491,America/Phoenix
Kent,WA,Washington,47.3887,-122.2128,America/Los_Angeles
Miramar,FL,Florida,25.9773,-80.3351,America/New_York
Coeur d'Alene,ID,Idaho,47.704,-116.7936,America/Los_Angeles
Coral Springs,FL,Florida,26.2702,-80.2591,America/New_York
Sterling Heights,MI,Michigan,42.5809,-83.0305,America/Detroit
Yuba City,CA,California,39.1357,-121.6383,America/Los_Angeles
Yakima,WA,Washington,46.5923,-120.5496,America/Los_Angeles
Carrollton,TX,Texas,32.989,-96.8999,America/Chicago
Racine,WI,Wisconsin,42.7274,-87.8135,America/Chicago
Johnson City,TN,Tennessee,36.3406,-82.3806,America/New_York
Billings,MT,Montana,45.7891,-108.5526,America/Denver
Iowa City,IA,Iowa,41.6559,-91.5303,America/Chicago
Dover,DE,Delaware,39.161,-75.5202,America/New_York
Bellingham,WA,Washington,48.7548,-122.469,America/Los_Angeles
Charleston,WV,West Virginia,38.3484,-81.6322,America/New_York
Lynchburg,VA,Virginia,37.4003,-79.1909,America/New_York
Santa Clara,CA,California,37.3646,-121.968,America/Los_Angeles
Norman,OK,Oklahoma,35.2335,-97.3471,America/Chicago
Greenville,NC,North Carolina,35.5943,-77.376,America/New_York
Simi Valley,CA,California,34.2663,-118.749,America/Los_Angeles
Fort Smith,AR,Arkansas,35.3495,-94.3695,America/Chicago
Abilene,TX,Texas,32.4543,-99.7384,America/Chicago
Arecibo,PR,Puerto Rico,18.4491,-66.7387,America/Puerto_Rico
Lewisville,TX,Texas,33.0454,-96.9815,America/Chicago
Pearland,TX,Texas,29.5581,-95.3218,America/Chicago
Lehigh Acres,FL,Florida,26.612,-81.6388,America/New_York
Kenosha,WI,Wisconsin,42.5865,-87.8773,America/Chicago
Seaside,CA,California,36.6224,-121.8199,America/Los_Angeles
Burlington,VT,Vermont,44.4876,-73.2316,America/New_York
Arvada,CO,Colorado,39.832,-105.151,America/Denver
Waldorf,MD,Maryland,38.6085,-76.9194,America/New_York
Independence,MO,Missouri,39.0871,-94.3501,America/Chicago
Rochester,MN,Minnesota,44.0154,-92.478,America/Chicago
Logan,UT,Utah,41.7399,-111.8422,America/Denver
Harlingen,TX,Texas,26.1916,-97.6977,America/Chicago
Berkeley,CA,California,37.8722,-122.276,America/Los_Angeles
Clovis,CA,California,36.8278,-119.683,America/Los_Angeles
Round Rock,TX,Texas,30.527,-97.6642,America/Chicago
